question,company,rating,position,date,comments
"Asked about my preferred direction in the company, managerial vs. technical.",Interviewed at DecisionOne,2.4,Data Analyst,19 Feb 2018,1
if u have good knowledge on FINANCE u will get hired .,Interviewed at ZenQ,4.0,Financial Data Analyst,18 Apr 2018,1
Case based and technology questions on dB and programming. Excellent questions. Loved working on the answers with the panel. It was collaborative,Interviewed at eattributes,4.2,Senior Data Analyst,27 May 2018,1
What motivates u to work .,Interviewed at MedLife Pharmacy and Compounding,3.8,Data Analyst,26 Sept 2018,1
Tell about any interesting data science project that I have worked on,Interviewed at Donnelley Financial Solutions (DFIN),3.9,Data Analyst Intern,27 Aug 2018,1
"What is your experience with X,Y,Z?",Interviewed at BWM Outcomes,4.3,Data Analyst,18 Oct 2018,1
what is expectations amount ?,Interviewed at Newpark Resources,4.1,Data Analyst,22 Sept 2018,1
What metric would you use for revenue?,Interviewed at ZipRecruiter,3.6,Data Analyst,5 Dec 2018,1
Python Coding,Interviewed at Quid,3.6,Data Science Quality Analyst,28 Apr 2019,1
How many total miles does our employees drive in a year?,Interviewed at Decisive Data,3.6,Data Analyst,4 Sept 2019,1
"Linear regression, machine learning.",Interviewed at Arzenovo Pharmaceutical,1.3,Data Analyst,21 Sept 2019,1
How familiar are you with Excel and relational data bases?,Interviewed at Matomy Media Group,3.6,Data Analyst,1 Oct 2019,1
Have you ever worked remotely before?,Interviewed at Pulse8,3.3,Data Analyst,10 Aug 2019,1
How to deal with conflict with team member while doing a project.,Interviewed at Precima,4.0,Data Analyst,22 Jan 2020,1
Write a program to read data from a CSV file and show it into a chart . Chart should be type of pie. Programming language must be R or Python.,Interviewed at Lentenics Technologies,3.8,Data Analyst,29 Nov 2019,1
Technical,Interviewed at Unifytech,3.8,Data Analyst,24 Jan 2020,1
"I passed 3 level Interviews, (Group, individual, and solving 5 questions in an Excel file)",Interviewed at Digikala,3.8,Data Analyst,27 Jan 2020,1
Tell me about yourself,Interviewed at ETFGI.com,2.1,Data Analyst,28 Apr 2020,1
who you check the algorithm,Interviewed at DaDa,3.6,Data Analyst,10 Aug 2020,1
How can you judge yourself?,Interviewed at Yerba Buena Beverage,-0.1000000014901161,Data Analyst,16 Sept 2020,1
Por que deberia de contratarte,Interviewed at Exigo Data Services Pvt Ltd,4.0,Data Analyst,16 Oct 2020,1
I had to take an IQ test,Interviewed at AnalysisWorks,4.4,Data Analyst,21 Feb 2021,1
Why are you interested with this position?,Interviewed at BrainBox AI,4.1,Data Analyst,31 Mar 2021,1
Do you anything About Theorem?,Interviewed at Theorem Clinical Research,3.2,Clinical Data Analyst,20 Aug 2015,1
Q: when you can start working?,Interviewed at University of Nebraska Medical Center,4.0,Data Analyst,1 Sept 2015,1
"* Ability to perform data analysis and maintain strong written and presentation skills. 
* Knowledge of database systems development, Microsoft Word, and Excel. 
* Demonstrates punctual, professional and responsible demeanor at all times. 
* Works with other department heads to resolve issues. 
* Performs all other duties as assigned. Work is neat, orderly, timely and accurate.",Interviewed at 1000colors,3.0,Data Analyst,6 Aug 2015,1
Why I wanted to work at fitbit,Interviewed at Fitbit,4.0,Research Data Analyst,25 Jan 2016,1
"what is your father salary?
what is brand?
difference between promotion and marketing?",Interviewed at Certination,3.2,Business Data Analyst,25 Dec 2016,1
What would you bring to the company as an individual!? And what you think of this organization?,Interviewed at Therapeutic Health Services,3.2,Data Analyst,5 Sept 2016,1
"nothing i specific , gave some random excel based test.",Interviewed at Rocket Kommerce,3.7,Data Analyst,24 Mar 2017,1
Have you read any of our glassdoor reviews?,Interviewed at Vizant,2.5,Data Analyst,17 May 2017,1
Walk through your resume,Interviewed at First Capitol Consulting,3.4,Data Operations Analyst,22 Jun 2017,1
What do you know about Cloud Computing?,Interviewed at CipherCloud,3.7,Cloud Data Analyst,19 Jul 2017,1
What is your experience with data?,Interviewed at Piron Ward,1.3,Data Analyst,17 Sept 2017,1
Are you comfortable discussing death within data sets?,Interviewed at Marine Corps Community Services,3.7,Data Analyst,18 Jan 2018,1
No phone screen. Do a quick and easy coding assignment. Onsite interview.,Interviewed at Granular,4.0,Data Analyst,12 Mar 2018,1
Excel document- recgnize what type of security breach this is...,Interviewed at Nyotron Information Security,3.9,Junior Data Analyst,10 Nov 2018,1
Write Queries using Join,Interviewed at American Power and Gas,2.6,SQL Data Analyst,24 Oct 2018,1
Describe your previous role.,Interviewed at Refinery29,3.3,Data Analyst,3 Feb 2019,1
Why InComm of all places?,Interviewed at InComm,3.6,Data Analyst,8 Jan 2019,1
Tell me about what makes me stand out from other potential applicants.,Interviewed at American Greetings,3.4,Data Analyst Intern,20 Feb 2019,1
"Around logistic regression, data cleaning, difference between data mining and data profiling",Interviewed at Maestro Technologies,3.8,Data Analyst,10 Apr 2019,1
Do you know the asset classes?,Interviewed at eVestment,4.3,Data Analyst,12 May 2019,1
How familiar are you in this kind of job?,Interviewed at Space Media Group HK,5.0,Entry Level Data Analyst,2 Jun 2019,1
Difference between sets and list in python,Interviewed at DemandMatrix,4.2,Senior Data Analyst,27 Jul 2019,1
Case study,Interviewed at Crossix Solutions Inc.,3.1,Marketing Data Analyst,28 Aug 2019,1
technical tools like excel sql python etc.,Interviewed at ReWise Analytics & Technologies,3.9,Data Analyst,27 Sept 2019,1
There are 100 doors in a building and 100 people outside. The first person goes in and opens every door. The second person goes in and closes every second door. The third person goes in and opens every third door. Which doors are the ones opened in the end?,Interviewed at CareDash,4.5,Data Analyst Intern,8 Sept 2019,1
Was I good with  Microsoft applications?,Interviewed at NEA,4.0,Data Analyst,8 Sept 2019,1
What do you like?,Interviewed at Reliable Restoration,4.6,Data Analyst,28 Sept 2019,1
"The highest level executive was the only one to actually ask me a 'real' technical question, which was what variables would I be interested in for analyzing a restaurant, given credit card data.",Interviewed at M Science,4.0,Data Analyst,5 May 2020,1
"Tell me about yourself.
How to find second largest number in list
Graphs for data visualization
How to create daraframes",Interviewed at Absolutdata,3.4,Data Analyst Internship,30 Aug 2020,1
How many people would eat daily at any college canteen?,Interviewed at Papergrid,4.7,Data Analyst,16 Aug 2020,1
They had an online assessment followed by a technical interview,Interviewed at Afiniti (Washington DC),3.5,Data Analyst,9 May 2020,1
"Indexing in SQL.
Types of Joins.
Difference between Truncate & Delete.
Query for salary of second last employee in a record.
Basic SQL questions.",Interviewed at Wunderman Thompson,3.6,Analyst: Data Operations,28 Oct 2020,1
"9. You have decided to delete doctors that contained the name ‘John’ in their name.  You have a
function in the lib schema called item_remove where the first item in the function is the table
and the second item is the provider_id.  Write a shell script that will connect to the database
and loop through the provider_id into the function.",Interviewed at Sapphire Digital,3.3,Data Analyst,13 Nov 2020,1
What is your weakness point,Interviewed at Veyo,3.2,Data Analyst,14 Jan 2021,1
"If you have a raw dataset, what will you do? Explain how are the steps your programming skill applies on this dataset.",Interviewed at AXA Singapore,3.8,Data Analyst Internship,19 Jan 2021,1
How will you predict if i ask you how many people are going to wear red T-shirt on a following day in New York city.,Interviewed at Brightfield,3.1,Data Analyst,17 Mar 2021,1
How do you deal with missing data?,Interviewed at Open Door (London),-0.1000000014901161,Data Analyst,11 Mar 2021,1
"SQL: select, different join, not in, is not null;
What will you do if you don't know/not sure about something?",Interviewed at Merrill,3.8,Business Data Analyst,8 Mar 2020,1
Tell me about a time where you went out of you way to learn something new?,Interviewed at BHE GT&S,3.7,Data Analyst,15 Nov 2023,1
"If there was a table in SQL with duplicate rows of data, how would I remove the duplicated data?",Interviewed at Verscend,2.8,Data Analyst,27 Aug 2014,1
How do you handle missing or incomplete data in your analysis? Can you walk me through a hypothesis testing process you have performed in the past?,Interviewed at Grind Reel,4.9,Data Analyst,20 Jan 2023,1
How much black money is in Delhi region,Interviewed at The Smart Cube,3.5,Data Analyst,17 Nov 2016,1
Guesstimate the number of Red Diesel Maruti Swift Cars running on road at that point of time (1.30 pm),Interviewed at The Smart Cube,3.5,Data Analyst,30 Sept 2015,1
3 ghosts and 3 monks river crossing puzzle,Interviewed at The Smart Cube,3.5,Data Analyst,8 Jan 2018,1
Guess estimate the weight of an aeroplane about to take off?,Interviewed at The Smart Cube,3.5,Data Analyst,8 Jan 2018,1
They asked me about the code of business conduct and ethics in NeoDocto,Interviewed at NeoDocto,4.8,Data Analyst Intern,27 Aug 2022,1
part of the interview questions is my country?,Interviewed at NeoDocto,4.8,Associate Data Analyst,16 Jul 2022,1
What is your weakness and how do you overcome it?,Interviewed at NeoDocto,4.8,Associate Data Analyst Intern,31 Jul 2022,1
What are your plans after this Internship,Interviewed at NeoDocto,4.8,Associate Data Analyst,28 Jul 2022,1
What is motivates you daily?,Interviewed at NeoDocto,4.8,Associate Data Analyst Intern,10 Aug 2022,1
What is my Motivation daily ?,Interviewed at NeoDocto,4.8,Data Analyst,10 Aug 2022,1
Do you use a laptop or a desktop computer? How long do you use it on a daily basis?,Interviewed at NeoDocto,4.8,Data Analyst Intern,4 Mar 2023,1
"Basic introduction, skills, reasons you want to work with this company and other similar questions.",Interviewed at NeoDocto,4.8,Data Analyst,23 Jul 2021,1
Why did you choose this company for your internship.,Interviewed at NeoDocto,4.8,Data Analyst Intern,10 Feb 2022,1
"What are your accomplishments over the years?
What are your weaknesses and how are you working on it?
What do you like about the company",Interviewed at NeoDocto,4.8,Business Data Analyst Intern,8 Apr 2022,1
What motivated you to apply for this role,Interviewed at O’Brien Glass Industries,2.8,Data Analyst,21 May 2023,1
"SQL
Power BI (DAX)
Data Warehouse questions",Interviewed at LexisNexis Risk Solutions,4.0,Data Analyst,8 Feb 2024,1
How are you doing in this country?,Interviewed at XYZ,3.7,Data Analyst,17 Mar 2024,1
Experiencias previas con el rubro de oil and gas en ingles de forma de corroborar tu nivel de lenguaje y las actividades anteriores,Interviewed at Baker Hughes,3.9,Data Analyst,6 Jul 2019,1
"Blandas: háblanos de ti (academica, laboral y personalmente), que logros realizaste, porque saliste de tus anteriores trabajos, cuánto era el sueldo que percibías, si llamara a tu última jefa que diría sobre ti, porque te animaste a trabajar en firstjob",Interviewed at FirstJob (Chile),4.1,Data Analyst Intern,28 Mar 2024,1
"-My Experience
-How my work impacted my previous work place
-Key Success and failures
-Strengths & Weakness
-Prioritization skills (This is what I needed to improve on as they weren't confident in what I had to offer )",Interviewed at VANMOOF,3.6,Operations Data Analyst,9 Jun 2021,1
"When you worked with a team on this project, what were your responsibilities?",Interviewed at Eastman,3.7,Data Analyst,25 Feb 2020,1
How proficient are you in Microsoft Excel?,Interviewed at Accruent,3.6,Data Quality Analyst,11 Apr 2018,1
Was asked if there was a correlation between two things.,Interviewed at Locus Analytics,4.4,Data Analyst,9 Dec 2016,1
What is your name/phone number/ address/strengths/weaknesses,Interviewed at Massive Insights,3.9,Data Analyst,3 Aug 2020,1
What you already know about the company,Interviewed at Elevate Sports Ventures,3.6,Data Analyst,8 Aug 2023,1
"Scenario-based questions mostly.

What is the difference between internal and external stakeholders?

How do you prioritize tasks?

How do you decide what visualization would be better for stakeholders",Interviewed at Morressier,3.4,Senior Data Analyst,29 Sept 2022,1
Basics of analytics,Interviewed at Scriplogix,3.9,Intern - Data Analyst,3 Jan 2019,1
What impact do console game sales have on mobile game sales.,Interviewed at data.ai,3.0,Junior Data Analyst (Turned to Senior Data Analyst Turned to Not Good Enough for An Internship),16 Feb 2015,1
SQL query to retrieve my name when there is space before and after the name,Interviewed at Bristlecone,3.8,Data Operations Analyst,30 Jan 2024,1
How would you predict the price of a stock with the historical data of that stock's prices?,Interviewed at IntegraFEC,4.3,Summer Data Analyst,22 Aug 2020,1
How would you predict the price of a stock with the historical data of that stock's prices?,Interviewed at IntegraFEC,4.3,Summer Data Analyst,22 Aug 2020,1
they asked me about big data and Sql,Interviewed at Delhivery,3.4,Data Analyst,30 Oct 2022,1
Q. What are your salary expectations?,Interviewed at Zolar,3.6,Data Analyst,7 Oct 2021,1
Tell me about vlookup function in Excel. What would be the substitute functions for vlookup?,Interviewed at COTA,3.5,Data Analyst,21 May 2016,1
How many hip replacement surgeries are going on in the U.S right now?,Interviewed at Remedy Partners,3.4,Data Analyst,24 May 2016,1
"How many hours do you work on excel.
How many hours do you work  competitors data and competitors analysis.
How much time to prepare competitive reports. Etc",Interviewed at Infant Solutions,4.7,Data Analyst,17 May 2017,1
What does the acronym ACID mean with regards to transactional databases?,Interviewed at Merkle,3.5,Data Analyst Consultant,22 Mar 2017,1
They asked me about my projects and questions based on the code,Interviewed at Merkle,3.5,Data Analyst,19 Mar 2024,1
Question on python project that you have created.,Interviewed at Ascentt,4.6,Data Analyst,16 May 2024,1
What is the ideal outcome of a successful data analysis project?,Interviewed at MarineTraffic,4.4,Data Analyst Intern,26 Jun 2022,1
Tell me a time where you introduced a new process?,Interviewed at Fund for the Public Interest,2.1,Data Analyst,11 Nov 2019,1
I think we’ve done business at your workplace. What’s your bosses full name and contact info?,Interviewed at Fortitude Systems,4.3,Data Analyst,6 Jul 2024,2
Coding round questions differ from each other,Interviewed at Turing,3.8,Data Analyst,3 May 2024,1
If I'll be able to work us hours,Interviewed at Turing,3.8,Data Analyst,29 Dec 2022,1
1st Coding round with 60 minutes of time to solve along with comments and approach,Interviewed at Turing,3.8,Data Analyst,13 Jul 2024,1
About previous project experience in previous company,Interviewed at Impressico Business Solutions,4.6,Data Analyst,23 May 2021,1
General Aptitude Questions along with they asked Programming Questions and those who selected in first round they moved to second level of round.,Interviewed at Zoho,4.4,Data Analyst,18 May 2022,1
Write sql to mimic a report,Interviewed at Enote,3.5,Data Analyst/Data Engineer,28 Jul 2020,1
Tecniche su competenze acquisite,Interviewed at Minsait,3.8,Data Analyst,20 Mar 2021,1
Cuántas ventanas hay en nueva york,Interviewed at Minsait,3.8,Data Analyst,15 Mar 2023,1
What excites you about Ring?,Interviewed at Ring,3.2,Data Analyst Intern,6 Dec 2018,1
I was asked to use their platform to group and analyze sales from an unnamed department store.,Interviewed at 1010data,3.4,Data Platform Analyst,30 Nov 2016,1
My experience with working in a team.,Interviewed at Naval Air Systems Command,3.7,Data Analyst,17 Apr 2024,1
An assistant to the recruiter called me to I guess set up a time to talk to the recruiter.,Interviewed at iLending,3.3,Data Analyst,22 Sept 2019,1
Why would you prefer NeenOpal over other companies.,Interviewed at NeenOpal,4.4,Data Analyst,20 May 2024,1
SQL,Interviewed at BYJU'S,3.0,Data Analyst,6 Nov 2019,1
Write a SQL query to return a data set.,Interviewed at Livongo Health,4.6,Data Operations Analyst,29 Sept 2020,1
Tell me about yourself? And how do you fit in this role you are applying for?,Interviewed at Blend,2.7,Data Analyst,13 Sept 2021,1
How does your skill-set align with our role?,Interviewed at Paramount,3.7,Data Analyst,19 May 2022,1
Skills、Availability and Expected Salary. Questions asked also in details of solutions that candidate might know to handle the job challenges,Interviewed at GoKardz Technologies,-0.1000000014901161,Data Analyst,22 Sept 2024,1
They ask to Tell you about projects you worked on.,Interviewed at Union Home Mortgage,4.0,Data Analyst Intern,22 Sept 2024,1
What are your political views?,"Interviewed at Blue Margin, Inc",4.5,Data Visualization Analyst,28 Sept 2021,1
A brainstormer question and I was asked to write a python function,Interviewed at Fischer Jordan,2.5,Data Analyst Intern,15 Jul 2023,1
Gave me a data set to analyze,Interviewed at Rebax Technologies,-0.1000000014901161,Data Analyst,2 Oct 2024,1
Talk about your previous experience.,Interviewed at Caring Communities,1.6,Senior Data Analyst,27 Sept 2024,1
What is the main reason for applying for this position?,Interviewed at Gonzales Consulting Services,2.7,Data Analyst,13 Aug 2015,1
"When did I complete my French levels and from where. Am I comfortable with role description. Knowledge about French language, since how long am I in touch with the language. Whether am I married or not.",Interviewed at Translang Ways Solution,3.9,French Data Analyst,25 Jun 2021,1
They asked me a question on Data management software I have not heard before,Interviewed at ConocoPhillips,4.1,GGGRE Data Analyst (Entry Level),19 Aug 2013,1
What is the difference between privacy and code of conduct?,Interviewed at CytImmune Sciences,2.6,Data Analyst,19 Apr 2023,1
how would you start resolving a data issue for client and basic other situational questions,Interviewed at Ficstar Software,4.0,Data Analyst,10 Sept 2024,1
How do you troubleshoot performance problems in SQL Server?,Interviewed at Bell Info Solutions,3.7,Data Analyst,7 Sept 2016,1
Prepare a power bi deck and data sample,Interviewed at Sweat Fitness,3.0,Data Analyst,2 Sept 2022,1
Define java and types of oops concepts,Interviewed at Prasad Kulkarni & Associates,5.0,Data Analyst,19 Nov 2021,1
What is the most difficult problem you have had to face at work and how you resolved it,Interviewed at MXenergy,2.5,Data Analyst,22 Dec 2010,1
what are some data analysis tools,Interviewed at Baysquare,4.3,Data Analyst,3 Sept 2016,1
Data intelligence questions about projects,Interviewed at Innoactive,3.6,Data Intelligence Analyst,13 Oct 2023,1
"Introduction, about the tools I had developed in my previous experience, the workflow of the job data analyst, explain data cleaning",Interviewed at Philips Arena,3.7,Data Analyst Co-op,5 Nov 2020,1
Tell me about your self,Interviewed at Sandcube Analytics,2.6,Data Analyst,24 Jan 2019,1
It was about SQL and Python,Interviewed at OPK eServices,3.5,Junior Data Analyst,28 Nov 2022,1
Describe your experience with databases?,Interviewed at Clearwire,3.1,Business Systems Data Analyst,5 Mar 2011,1
"Tell me about yourself, career goals, and skills.",Interviewed at Great Western Bancorp,3.6,Data Analyst,17 Sept 2020,1
What does it take to improve school performance?,Interviewed at Tennessee Department of Education,3.1,Data Analyst,22 Feb 2018,1
Previous experience during last years.,Interviewed at ELIX Polymers,4.3,Data Analyst,10 Sept 2021,1
"They put me on hold for more than 2 weeks. I had to follow up with them and finally the HR disclosed that I am not selected. I did not understand how one can decide based on 10-15 mins discussion. They holded my profile for 2 weeks because they were reviewing other candidates. How one can compare with others. If I was not up to their expectations, they would have rejected me right away.  No skill tests, no technical discussion nothing happened.",Interviewed at Centre for Digital Financial Inclusion,4.5,Data Analyst,10 Dec 2019,1
"Introduction
explain your project, What issue do you face in your project, What is a pointer.
Why should I hire you?",Interviewed at REVA,4.2,MDP Associate (Earlier Known As Data Research Analyst,6 Jul 2022,1
Tool test (Excel),Interviewed at Bytech India,4.0,Data Analyst,6 Dec 2018,1
i) Porque você escolheu a Favo?,Interviewed at Favo,4.2,Data Analyst,3 Dec 2022,1
Describe the steps you would go through to build a new data model.,Interviewed at TinyTap,3.9,Data Analyst,4 Jun 2023,1
How you will be compliant with student data?,Interviewed at Excellence Community Schools,3.0,Academic Data Analyst,13 Sept 2024,1
Linear regression,Interviewed at Arcadix,3.9,Data Analyst,26 Oct 2017,1
Fill out detail information about yourself and family members.,Interviewed at Habib Group,3.3,Data Analyst,20 Jun 2024,1
what is data analyst roles and responsibilities,Interviewed at Sankhyana Consultancy Services,3.7,Data Analyst,24 Aug 2024,1
What's your definition of respect.,Interviewed at ONCOR,4.2,Data Analyst,29 Jan 2014,1
What is PCA? Different types of machine learning techniques?,Interviewed at Findability Sciences,3.5,Data Analyst,27 Feb 2022,1
More of selling your skillset to them. Prove them you're good enough.,Interviewed at The Philippine Stock Exchange,3.1,Data Analyst,11 Jan 2021,1
où vous voyez-vous dans cinq ans ?,Interviewed at MPG-Partners,3.9,Data Analyst,4 Apr 2024,1
They gave me an Excel test where they gave me a dataset and asked to answer the questions.,Interviewed at Fresno PACE For Seniors,2.6,Data Analyst,17 Apr 2019,1
To approach certain data level understanding.,Interviewed at Onco,3.9,Data Analyst,3 Oct 2020,1
What you have did about this role,Interviewed at Infront Consulting Group,3.5,Data Analyst,20 Apr 2024,1
How would you react is you see so;eone behaving unethically or harassing someone?,Interviewed at SkyGeo,2.5,Data Analyst,18 Oct 2023,1
Tell us about your experience.,Interviewed at Cogo Labs,3.3,Quantitative Data Analyst,14 May 2015,1
"I was asked to take the interviewers through my resume and the interview was mostly a conversation based around things that would come up on my resume. Each interview felt more like a relaxed conversation than an interview, and I got to know the interviewers just as much as they got to know me.",Interviewed at Cogo Labs,3.3,Quantitative Data Analyst,25 Aug 2016,1
Describe yourself.,Interviewed at Trinity Financial Services,4.8,Real Estate Data Analyst Intern,15 May 2019,1
"You have 100 doors, and you open each of them on your 1st time through, then your second time through you toggle every 2nd door (closing open doors, or opening closed doors), then your third time through you toggle every 3rd door, which doors are opened after 100 times through?",Interviewed at Cogo Labs,3.3,Quantitative Data Analyst,18 Nov 2018,1
Are you a good communicator?,Interviewed at Cefas,3.6,Data Analyst,25 Aug 2016,1
"è stato individuato dai colleghi del business un drop negli ordini, come agiresti per supportare i colleghi e individuare le cause?",Interviewed at Subito Italy,4.1,Data Analyst,10 Mar 2024,1
Describe the difference between a tuple and an array,Interviewed at Novotel Hotels,3.8,Data Analyst,3 Oct 2023,1
Why you choose Telekom Malaysia. What is big data. Which data analytics tool you used.,Interviewed at Telekom Malaysia,4.1,Data Analyst,5 Oct 2022,1
Tell them about yourself question,Interviewed at Superbalist.com,3.0,Data Analyst,21 Dec 2020,1
Can you show up to the Google Meet interview at 9:00?,Interviewed at BrainWorks (New Jersey),3.8,Data Analyst,14 Oct 2024,1
why are you interested in data analysis?,Interviewed at Queensland Urban Utilities,3.0,Data Analyst,8 Mar 2024,1
"- Why are you suitable for this role?
- Why would you like to work at Phiture?",Interviewed at Phiture,3.8,Junior Data Analyst,22 Apr 2021,1
"Tell me about yourself. 
What are the data points you would consider for opening a Zomato cloud kitchen considering you have all the datasets.",Interviewed at Blinkit,3.4,Data Analyst,6 May 2024,1
Questions about data cleaning and data interpretation,Interviewed at Urjanet,3.9,Data Analyst,28 Dec 2021,1
What project would I do if I joined the company?,Interviewed at A1 Hrvatska,4.1,Junior Data Analyst,1 Dec 2021,1
Basic fundamental and about the company and overall review about functionality,Interviewed at The Morning Star Company,4.1,Data Analyst,23 Aug 2019,1
Tell me about yourself and walk me through one of your recent projects,Interviewed at Flexport,3.2,Senior Data Analyst,25 Jul 2020,1
Some of the projects that i have done and how were they impactful,Interviewed at Watu Credit,3.8,Data Analyst,22 Aug 2022,1
R questions,Interviewed at Paisabazaar.com,3.4,Data Analyst,13 Aug 2018,1
rate your python and sql skills,Interviewed at Paisabazaar.com,3.4,Data Analyst,23 Sept 2022,1
I did not encounter a difficult or unexpected question,Interviewed at Randstad US,3.5,Marketing Data Analyst,9 Sept 2014,1
What skill set do you bring to the table....etc.,Interviewed at Ritchie Bros.,3.3,Data Analyst Marketing,29 Nov 2014,1
1) What is your approach to stream like current bottle necks in the marketing leads processing.,Interviewed at House Buyers of America,4.4,Data Analyst,5 Jun 2022,1
Tell about a time you had to work with a confrontational employee.,Interviewed at Washington Technology Solutions,3.1,Data Analyst,2 May 2019,1
Explain ideal KPI's for different different scenarios they will put up.,Interviewed at Ecosia,4.6,BI data Analyst,26 Feb 2019,1
Nothing they asked about sponsorship.,Interviewed at Didi Chuxing,4.0,Data Analyst Intern,12 Sept 2022,1
Skills and work history and availability,Interviewed at 99 Cents Only,3.3,Data Analyst,8 Mar 2023,1
"Ex Q1: What didn't you like in your previous position, and do you think it'll be different in Fiverr? Ex Q2: You are presented with data (related to the field you are applying for), what are the first things that you see here? What looks peculiar to you? Why? How would you confirm whether it is normal or not?",Interviewed at Fiverr Inc.,4.2,Data Analyst,15 Feb 2023,1
My skill set and work accomplishments,Interviewed at Kern Health Systems,4.1,Data Analyst,9 Jan 2021,1
Avez vous d'autres pistes pour votre recherche de stage ?,Interviewed at SFR,3.5,Data Analyst,11 Jan 2022,1
Do I have experience with analyzing data?,Interviewed at Didi Chuxing,4.0,Data Analyst,27 Feb 2020,1
There were specific questions to test ability/understanding of SQL and other database tools.,Interviewed at Liberty Specialty Markets,3.8,Data Analyst,16 Jul 2020,1
Why are you interested in us?,Interviewed at Andritz,3.9,Data Analyst,15 Oct 2020,1
What are the skills you possess in this field (or)  projects you have done related to?,Interviewed at Maxbyte Technologies,3.3,Data Analyst Internship,28 Aug 2020,1
"Both rounds were technical. was asked about SQL joins, windows function, a lot of grinding in SQL.  data extraction. lookup, text cleaning in excel and some simple tableau questions. 
Each round also has a puzzle and was asked to answers from a given business scenario case study.",Interviewed at PharmEasy,3.6,Data Analyst,6 Jul 2022,1
What is your preferred working environment?,Interviewed at Forest Interactive,3.3,Data Analyst,1 Nov 2019,1
"Describe a stressful situation that you experienced at work, and how did you handle it?",Interviewed at Passion.io,4.7,Data Analyst,25 Jan 2024,1
Two programming questions via codility.com.  Total of 60 minutes.,Interviewed at Hired,4.3,Data Analyst,3 Aug 2017,1
Why do you want to work in the health care space?,Interviewed at Veeva Systems,3.6,Marketing Data Analyst,7 Oct 2021,1
Why choose Huawei?,Interviewed at Huawei Technologies,3.6,Data Analyst,16 Feb 2018,1
Figure out the next image,Interviewed at Klarna,3.0,Data Analyst,14 Oct 2020,1
They askd for sql query to print top 3 salary in a database,Interviewed at LatentView Analytics,4.0,Data Analyst,3 Apr 2022,1
How will you find duplicates in a given array,Interviewed at LatentView Analytics,4.0,Data Analyst,15 Oct 2023,1
Tell Me about Web Mining? (From my resume),Interviewed at LatentView Analytics,4.0,Data Analyst,24 Aug 2016,1
Swap two nos with 2 variables,Interviewed at LatentView Analytics,4.0,Data Analyst,7 Sept 2016,1
Difference between a leader and a manager?,Interviewed at LatentView Analytics,4.0,Data Analyst,29 Jan 2015,1
Explain academic projects,Interviewed at MH Alshaya,4.0,Data Analyst,26 Sept 2017,1
To demonstrate coding skills and capabilities?,Interviewed at Enhance Health,2.7,Data Analyst,2 Dec 2024,1
"tell me about yourself, why this company, what will you do if given an opportunity.",Interviewed at Aspire,3.3,Data Analyst,25 Oct 2023,1
Is foreign key nullable?,Interviewed at Spice Money,4.2,Data Analyst,7 Oct 2019,1
How are you,Interviewed at The Missing Link,4.1,Data Analyst,26 Dec 2020,1
"In terms of your career, where do you see yourself in a few years?",Interviewed at Groundspeed,3.1,Data Analyst,13 May 2019,1
Avez vous un contact à nous fournir dans votre ancienne entreprise ?,Interviewed at Sibylone,3.6,"Consultant, Data Analyst",20 Feb 2024,1
Explain different types of SQL JOINS with examples,Interviewed at Razorpay,3.6,Data Analyst,4 Oct 2024,1
"You spotted something was wrong with the data, you bring it to developers notice and they said they have fixed it. How would you check if they have fixed it?",Interviewed at Compass,3.8,Data Analyst,12 Jan 2021,1
"One of the MLS has various types of square footage area, how would you know which ones to pick and how would the code you write pick it up?",Interviewed at Compass,3.8,Data Analyst,12 Jan 2021,1
You have a table of swiggy delivery partners  with distance covered in each trip. If the current trip distance is less than 15km print previous trip result,Interviewed at BOUNCE,3.9,Data Analyst,30 Jun 2024,1
"You walk into room full of 10,000 coins. You turn all the heads you see to tails and toss the tails and let it be. After a while of doing this, what will happen to the room in terms of heads and tails?",Interviewed at Wolverine Trading,4.4,Data Analyst,8 Mar 2015,1
If I had a suitable place for a home office.,Interviewed at Sabre,3.7,Senior Data Analyst,9 Dec 2023,1
Excel proficiency,Interviewed at Komaza,3.8,Data Analyst,9 Apr 2018,1
Related past experiences and frameworks,Interviewed at Qcells,2.9,Data Analyst,25 Apr 2023,1
Tell me about yourself please,Interviewed at ABCD & Company,4.2,Data Analyst,11 Mar 2022,1
"Business metrics that assess company performance, now and for the future.",Interviewed at Kubrick Group,3.2,Business Data Analyst,26 Oct 2020,1
What is Kubrick Group/What do they do?,Interviewed at Kubrick Group,3.2,Data Analyst/Data Engineering Graduate Programmer,27 Nov 2020,1
Tell us a bit about you,Interviewed at Kubrick Group,3.2,Data Management Analyst,24 Feb 2021,1
How can you summarize something succinctly?,Interviewed at Kubrick Group,3.2,Business Data Analyst,8 Feb 2020,1
Create a 5 minute Presentation about a chosen subject from a set list.,Interviewed at Kubrick Group,3.2,Data Analyst,23 Mar 2019,1
Why did you choose us?,Interviewed at Fevo,4.6,Junior Data Analyst,28 Sept 2021,1
Warum will ich meinen derzeitigen Arbeitgeber verlassen.,Interviewed at Chrono24,3.2,Senior Data Analyst,29 Sept 2017,1
How to work with group members?,"Interviewed at Associated Students of the University of California, Davis",4.0,Data Analyst,14 Nov 2021,1
