question,company,rating,position,date,comments
About Yourself and your intrest in AI,Interviewed at Q Blocks,3,AI Intern,21 Apr 2022,0
"1. About Image processing
2. Projects etc",Interviewed at SensoVision System,3.6,AI Engineer,7 Sept 2021,0
How would I find sources for the data,Interviewed at Lumitics,4.2,AI Data Management Executive,10 Jun 2024,0
Manipulate an Array on your convenient program,Interviewed at PixDynamics,3.8,AI Developer,19 Jul 2024,0
Return the character that shows up the most in a string.,Interviewed at G2i,3.2,AI testing developer,23 Apr 2024,0
"1. Diff. in Set and List.
2. Encoders and Decoders
3. Transformers
2. Training of NNs",Interviewed at GupShup,4,AI Engineer,2 Feb 2024,0
A CS question and an open-ended take-home related to simulation,Interviewed at Standard Bots,4.6,ML/AI Engineer,2 Dec 2024,0
Implement a cosine similarity-based RAG in Numpy for a Postgres database without using other libraries.,Interviewed at Mempage,4.6,AI Engineer,16 May 2024,0
How do you explain AI?,Interviewed at Prosa.ai,4.4,AI Engineer,9 Dec 2024,0
About my projects and suggestions to problems currently addressed by Exawizards related to my domain,Interviewed at ExaWizards,2.8,AI Engineer,6 Oct 2021,0
How a company can deal with its customer churn?,Interviewed at SSL Wireless,3.4,AI/ML Intern,9 Sept 2024,0
Tell us about one project you have worked on that is relevant to this position.,Interviewed at Qrious,3.2,AI/ML Trainee,4 Mar 2021,0
Describe your latest reviewed paper and detail its current applications to [specific topic depending on your experience],Interviewed at EARTHBRAIN,1,AI Engineer,20 Apr 2024,0
Are you good on leetcode problems? and why are you a good fit on this position?,Interviewed at G2i,3.2,Remote Software Engineer for AI Training Data,2 Jun 2024,0
They asked your questions based on your own experience.,Interviewed at Exscientia,3.7,AI Intern,26 Aug 2022,0
Can you describe how a graph neural network works and why it might be useful in drug candidate design?,Interviewed at Exscientia,3.7,AI Research Scientist,7 Sept 2022,0
How “does it work” in AI,Interviewed at CFG Health Network,2.8,AI Operations Lead,8 Oct 2023,0
"ML infrastructure, recsys, vision, NLP, api design, microservice architecture",Interviewed at Invitae,3.3,AI Engineer,15 Jul 2021,0
Mathematical Background of most of the prominent machine learning and deep learning techniques and algorithms.,Interviewed at Innovation Incubator,4.4,AI Engineer,1 Feb 2020,0
"AI related, how the system work, how to create models and to change the architecture...",Interviewed at Quantiphi,4.2,Senior AI/ML Engineer,13 Dec 2021,0
To write a story about and  octopus on a job interview.,Interviewed at DataAutomation,3.7,AI Data Labeler,19 Mar 2024,0
What algorithm would you choose to solve this problem and why?,Interviewed at Baringa Partners,4.1,Analyst (Data Science and AI),23 Feb 2018,0
they asked about my experience.,Interviewed at The Hexaa,3.7,AI Engineer Intern,28 Jan 2025,0
"1. Basic questions about company
2. Are you willing to relocate to coimbatore ?
3. Why are you choosing this company?",Interviewed at Iamneo.ai,3.5,Gen AI intern,9 Aug 2024,0
"1. Previous experience
2. Tech stack used",Interviewed at Recruitment Entrepreneur,3.5,AI Engineer,28 Jan 2025,0
What do you know about generative AI,Interviewed at Intertec Systems,3.4,AI Intern,7 May 2024,0
"after an initial hr screening, 1 technical video mode online coding test, which I cleared, then the Director round they need a candidate with entire IT company skills relevant to Data Science full-length project from scratch to post deployments everything is done by one person which will usually be done by teams of people thereafter client round mainly focusing on projects and ml, da skills",Interviewed at Jade Global,3.7,AI-ML Data Scientist,1 Aug 2023,0
"On ML, NLP, MLops, Azure",Interviewed at Jade Global,3.7,AI/ML,6 Sept 2023,0
"Nvadia related 
deeplearing
open Cv",Interviewed at Assert AI,3.9,AI Associate,28 Jan 2025,0
"Describe LSTM, word2vec, glove, transformer  etc.
Question regarding multiprocessing",Interviewed at Razorthink,4.3,AI Engineer,29 Jun 2021,0
Create a deep learning network that sums up single digits and output the sum. The summation had to be done by the network. MNIST digits dataset.,Interviewed at Helsing,4.4,AI Engineer,8 Feb 2024,0
Why do you want to join this company?,Interviewed at NetEdge Computing Solutions,3.5,AI Intern,20 Dec 2024,0
Asked about Python -Basic and OOPS concepts and Machine Learning,Interviewed at Enterprise Minds,4.2,Trainee AI/ML Engineer,19 Feb 2025,0
What is left joint is SQL Data Base.,Interviewed at Capital Numbers,4.4,AI Architect,18 Feb 2025,0
Advanced AI Ml question  and more on LLM and stable diffusion,Interviewed at HTC Global Services,3.5,AI Engineer,7 Feb 2024,0
Typical Algorithm questions ( sorting compressing) & multiple-choice questions. Although there was no mentioning of knowledge of C++ in the job description there were questions on the coding test pertaining to C++.,Interviewed at Mendel,3.9,AI Research Engineer,11 Jul 2021,0
Describe the Transformer architecture and its components.,Interviewed at Aleph Alpha,3.2,AI Researcher,17 Oct 2024,0
What do you think about European AI sovereignty?,Interviewed at Aleph Alpha,3.2,AI Research Engineer,23 May 2023,0
Where do you live? Do you have any questions about the process?,Interviewed at Tremend Software Consulting,3.6,Junior ML/AI Engineer,8 Apr 2023,0
"ML Workflow, Deep Learning Frameworks, etc",Interviewed at Data Zone,3.9,AI/ML Engineer,30 Apr 2024,0
They asked everything except ML.,Interviewed at ideyaLabs,4.5,AI/ML Engineer,26 Jul 2024,0
"What is Back Propagation , Explain?",Interviewed at BajraTechnologies,3.5,AI Trainee,23 Sept 2024,0
"If there are any salary delays, would you be okay with it.",Interviewed at Userdata,2.8,AI Engineer,6 Feb 2025,0
How does an XgBoost model work?,Interviewed at RapiPay Fintech,4.1,AI Researcher,11 Jan 2021,0
"Characteristic:
- How to handle argument, conflict with teammates or manager.

Technique:
- coding:
   + implement Inverted Residual Block
- questions:
   + explain Gradient Decent.",Interviewed at Woven Planet Holdings,3.2,AI/ML Intern,20 Apr 2024,0
What is ai? Benifits of ai and thier uses?,Interviewed at Thirumoolar Software,4.1,AI Researcher,17 Jul 2024,0
Is Deep Learning better than Machine Learning,Interviewed at Thirumoolar Software,4.1,AI/ML Engineer,19 Oct 2024,0
why do you want to join Eura Nova?,Interviewed at EURA NOVA,3.5,AI/ML Engineer,14 Oct 2021,0
I wasn't even invited for the interview,Interviewed at Sberbank,4.2,AI/ML Engineer,21 Jul 2023,0
Briefly explain what is backpropagation.,Interviewed at Apziva,4.7,AI Resident,4 Jan 2023,0
"Second, I was asked technical questions about traditional machine learning like “How to convert from linear regression to logistic regression?” Then deep learning like “How to upscale an image that goes into CNNs in the CNNs layer without using any outer image resizer {he means padding in the CNN layer}” and “Explain the differences between RNNs, LSTMs, and GRUs in the number of gates”, and a few more questions.",Interviewed at Electro Pi,4.2,AI Engineer Intern,9 Sept 2024,0
"First, I was asked about myself and my previous experience in AI, so I gave an introduction about myself and my projects in AI field.",Interviewed at Electro Pi,4.2,AI Engineer Intern,9 Sept 2024,0
"Algorithms, coding. Asked about previous projects.",Interviewed at Radical AI,3.4,AI Engineer Intern,12 Dec 2024,0
What is AI and supervised learning,Interviewed at Ejada,3.8,AI Engineer,10 Apr 2023,0
Explain the pros and cons of the various classification methods in terms of model complexity and compute time.,Interviewed at AI Singapore,4.1,AI Apprentice,24 Nov 2021,0
"More Technical questions
Need to be strong in Analytical and mathematics
Need good communication",Interviewed at Botminds,3.9,LEAD AI ENGINEER - MACHINE LEARNING,21 Oct 2019,0
"why do you want to join this track?
how to compute the slope of a curve
write a program to check if all opened parentheses are closed",Interviewed at Information Technology Institute,4.2,AI and machine learning track,26 Jun 2022,0
"There are workers in a company, and each worker has its own resources.
A worker's boss can use the worker's resource.
Implement a system that tells whether a certain worker can use a certain resource.",Interviewed at Kakao,3.9,Multimedia AI,28 Oct 2019,0
What is your passion about AI? How you incorporate your interest/skills to AI industry?,Interviewed at Bondee,5,Junior AI Researcher,18 Jul 2024,0
"multiple Questions about pytorch and how it works,",Interviewed at PetroApp,3.7,AI/ML Engineer,5 Sept 2024,0
tell me about ur self,Interviewed at Akhil,4,AI/ML Engineer,5 Mar 2025,0
What is meant by linear transformation?,Interviewed at Information Technology Institute,4.2,AI Trainee,18 Sept 2021,0
Can you start in two weeks,Interviewed at Innodata,3.7,AI language model trainer,21 Sept 2023,0
related to al/ml and chat gpt,Interviewed at Contlo,2.3,AI Scientist,1 Dec 2023,0
What was your previous project and what did you learn from it?,Interviewed at Vnpt,4.1,AI Intern,16 Mar 2024,0
Having data of two e - commerce websites and their description. How would you check if a certain product from one was present in another?,Interviewed at Bungee,3.9,AI/ML Intern,30 Aug 2023,0
"Machine learning and deep learning models, experience in deep learning",Interviewed at Yoozoo Games,3.8,AI Engineer Intern,3 Mar 2022,0
coding:Consider two functions each should be called and when first function called the array of first  concatenated with second array. And when second function is called the array of second concatenated with first array,Interviewed at Bhavana,3.9,Python AI Developer,8 Aug 2024,0
Tell me about your Self,Interviewed at ABI,4,AI/ML Engineer,30 Dec 2024,0
ML model implementation related questions,Interviewed at Timble Technologies,3.8,AI/ML Engineer,15 Jan 2025,0
I was asked to develop a drone mapping and navigation system,Interviewed at GoodAI,4.6,AI Engineer for Robotic Multi-Agent Systems,1 Jun 2023,0
python proficiency was asked. And other skills,Interviewed at Daifuku,3.2,AI Specialist,27 Apr 2021,0
Come mai se ha la laurea vuole fare questo lavoro,Interviewed at Forte Village Resort,3.8,Cameriera ai piani,25 Jan 2023,0
"Do you know what does sensitivity,recall and precision means?",Interviewed at Hong Kong Hospital Authority,3.7,AI internships,16 Nov 2023,0
What is the purpose of an activation function in hidden layers of neural network?,Interviewed at Nordea Asset Management,3.9,AI Engineer,2 Oct 2024,0
explain YOLO V8 loss and architecture,Interviewed at CyShield,4.5,Junior AI Engineer,13 Oct 2024,0
Why are you interested in data and ai ?,Interviewed at Bespin Global,2.9,AI Intern,30 Jul 2024,0
Simply ask about the prompts,Interviewed at RAJA,3.7,AI Prompt Engineer,12 Aug 2024,0
How do you work in fast paced environment?,Interviewed at Innodata,3.5,Generative Ai Associate,18 Apr 2024,0
Tell us a bit about your project.,Interviewed at AnotherBrain,3.5,AI Engineering Intern,22 Oct 2022,0
Come mai se ha la laurea vuole fare questo lavoro,Interviewed at Forte Village Resort,3.8,Cameriera ai piani,25 Jan 2023,0
Come ti vedi tra 5 anni?,Interviewed at Axitea S.p.A,3.9,Addetto ai servizi fiduciari,25 May 2023,0
"Do you know what does sensitivity,recall and precision means?",Interviewed at Hong Kong Hospital Authority,3.7,AI internships,16 Nov 2023,0
What are your career goals?,Interviewed at Amaris.Ai,2.8,AI Cybersecurity Engineer,23 Dec 2023,0
What are the metrics that you use to evaluate model Machine Learning,Interviewed at VNPAY,4.1,AI Engineer,20 Jan 2024,0
"Interview Questions:
1 - Check whether the number is perfect or not
2 - Print the non-repeating characters of a string",Interviewed at Moonpreneur,4.2,AI Tutor,19 Feb 2025,0
What is one of the hardest problems you encountered as an ML engineer,Interviewed at Türkiye Sigorta,3.9,AI/ML Engineer,28 Feb 2025,0
python proficiency was asked. And other skills,Interviewed at Daifuku,3.2,AI Specialist,27 Apr 2021,0
"Fine tuning  LLMs, RAG techniques which includes the chunking, retrieval, Indexing of Vector db's. How do u deal with different types of inputs (audio,video,pdf,url). Questions on recent projects in resume related to Genai (agents,langchain,langgraph,langsmith,tools).",Interviewed at Lexmark International,3.9,AI Engineer,12 Mar 2025,0
What are the diffrerences between linux distros.,Interviewed at Antmicro,3.1,AI Engineer Intern,12 Mar 2025,0
"Transformers, Deep Learning, Computer Vision and NLP based Deep Learning",Interviewed at SuperAGI,2.3,AI Engineer,12 Mar 2025,0
"What's Adam and SGD's formulas.
What's self means in Python",Interviewed at HTC,3.4,AI Engineer,30 Apr 2022,0
How are your communication skills?,Interviewed at VNG Corporation,4.2,AI Engineer,23 May 2022,0
"Walk you through your CV; what tech stack do you know? This is a lead role, but it is hands-on - ""Are you comfortable with that?""",Interviewed at Jones Lang LaSalle,3.8,AI Innovation Lead,23 Nov 2024,0
how does Anomaly detection Algorithm works ?,Interviewed at Adani Group,3.6,AI Solution Architect,10 Mar 2024,0
Some random leetcode question that they probably got online.,Interviewed at LRDTech,5,AI Engineer,14 Feb 2025,0
"What is NLP and parsing, tokenization",Interviewed at Mindgraph,4,AI Developer,21 Jan 2025,0
Presentation about my research,Interviewed at Hitachi,3.8,AI Research Intern,10 Apr 2019,0
"Why did you apply to Baykar, What will this internship bring you?",Interviewed at Baykar Technologies,3.7,AI internships,7 May 2023,0
Q: Tell me about yourself,Interviewed at OUTLIER,3.4,AI/ML Intern,1 Jan 2024,0
"They sent a KNIME test, and therefore, an AI test",Interviewed at Orion360,4.3,AI Engineer,4 Mar 2025,0
"However, I did feel that some of the questions were repetitive and could have been condensed into fewer questions. Additionally, I would have appreciated more opportunities to ask questions about the company culture and work environment.",Interviewed at Crayon,3.6,AI Engineer,7 Sept 2023,0
"about yourself 
what do you know about ai",Interviewed at Unknowns,3.4,AI Developer,7 Oct 2024,0
Tell me about your self,Interviewed at Anonymous,3.5,AI/ML Intern,18 Nov 2024,0
What is my 5 year plan?,Interviewed at IDK,4,AI/ML Intern,19 Nov 2024,0
"Educational qualification, why Amazon, any projects, how do you over come difficult situation, time when you adapt and improvised, STAR method, Leadership principles.",Interviewed at Amazon Development Centre,3.8,GO-AI Associate,24 Jan 2025,0
Why ABS-CBN,Interviewed at ABS-CBN,3.7,AI Engineer,5 May 2020,0
Regarding technical and behavioral.Also there writing speed test.,Interviewed at Daraz,3.6,AI Trainer,6 May 2024,0
What is product management to you?,Interviewed at Nike,4,AI ML Product Manager,30 Aug 2023,0
How would you fix an issue in the companies code if one were to arise?,Interviewed at Halliburton,3.7,Landmark AI Summer Internship,1 Nov 2024,0
tell me about your experience and coursework,Interviewed at LexisNexis Risk Solutions,4,Generative AI intern,13 Mar 2025,0
Relatively easy multiple-choice questions and coding assessment if you've done any significant work in the area for which you applied.,Interviewed at SuperAnnotate AI,4.7,AI Data Trainer,12 Jul 2024,0
What excite you working at this company,Interviewed at SuperAnnotate AI,4.7,Freelance AI Data Trainer,4 Sept 2024,0
In what area would you consider yourself a SME?,Interviewed at SuperAnnotate AI,4.7,AI Content Writer,3 May 2024,0
"What is your strength, explain",Interviewed at YYC Advisors,3.3,AI internships,15 Mar 2024,0
Why you wanna leave current employer,Interviewed at DataRobot,3.6,AI Architect,13 Mar 2021,0
Tell me about yourself and your work background.,Interviewed at DataRobot,3.6,AI Data Scientist,21 Oct 2021,0
Q) Explain cross validation simply,Interviewed at DataRobot,3.6,AI Data Trainer,23 Nov 2021,0
Cases required demonstrating a reasonable understanding of what use cases AI can help to solve.,Interviewed at DataRobot,3.6,AI Success Director,23 Sept 2021,0
Reversing a 32 bit integer Leetcode medium,Interviewed at 5C Network,3.5,AI internships,14 Mar 2025,0
Why do you apply this role? Why AI,Interviewed at LINE,3.9,Customer Care AI Project Associate Manager,4 Mar 2025,0
Where would you use RAG and where would you go with finetuning?,Interviewed at 10pearls,3.9,Generative AI Engineer,10 Jan 2025,0
What are the metrics to evaluate LLMs?,Interviewed at 10pearls,3.9,Generative AI Engineer,10 Jan 2025,0
CV Based Questions and Basic Algorithms,Interviewed at Qure.ai,4,AI Scientist Intern,2 Jan 2025,0
"Een opsomming van feitjes over mij, met het idee dat ik de zin zou voortzetten",Interviewed at DORST & LESSER,4.4,Generative AI Engineer,24 Feb 2025,0
"Q : ""Où vous voyez-vous dans 5 ans ?""
Cette question classique d'entretien d'embauche vise à évaluer les ambitions professionnelles du candidat et sa projection dans l'entreprise. Une bonne réponse montre une vision réaliste de sa carrière tout en démontrant sa motivation à évoluer au sein de l'organisation.
J'ai répondu en expliquant mon souhait d'approfondir mes compétences techniques, de prendre progressivement plus de responsabilités dans la gestion de projets et potentiellement d'encadrer une petite équipe. J'ai aussi souligné que je souhaitais contribuer à la croissance de l'entreprise sur le long terme, tout en continuant à me former et à rester à la pointe des nouvelles technologies.",Interviewed at Metyis,3.6,Generative AI Engineer,13 Nov 2024,0
What excites you about working for xAI?,Interviewed at x.ai,4.3,Bilingual AI Tutor,7 Feb 2025,0
Can you discuss your resume?,Interviewed at x.ai,4.3,AI Tutor,28 Aug 2024,0
What's the difference between L1 and L2 regularization ?,Interviewed at Unit8,4.5,AI/ML Engineer Intern,7 Aug 2020,0
"Projects, experience. General background stuff.",Interviewed at AppsFlyer,4.2,AI Researcher,25 Dec 2024,0
Self-introduction. Why do you want to work in this field? What are your opinions on LLMs? Are you willing to relocate to New York?,Interviewed at Instalily,4.7,AI/ML Engineer,16 Jun 2023,0
"Introduce yourself, Why are you interested in this company, explain your approach to the take home assessment.",Interviewed at Instalily,4.7,AI Engineer / Software Engineer,11 Nov 2023,0
What do you mean by reverse migration?,Interviewed at Valere,4.9,AI / ML Developer,9 Feb 2024,0
Given take home assignment project.,Interviewed at Saildrone,3,AI/ML Engineer,11 May 2021,0
Self-introduction. Why do you want to work in this field? What are your opinions on LLMs? Are you willing to relocate to New York?,Interviewed at Instalily,4.7,AI/ML Engineer,16 Jun 2023,0
How would you ensure that the testing covers certain acceptance criteria?,Interviewed at Augmented Intelligence,3.9,AI PM,26 Aug 2023,0
Related to Machine Learning and NLP,Interviewed at Centific,3.4,Senior AI Engineer,24 Aug 2022,0
What's the difference between layer normalization and batch normalization,Interviewed at GE,4,AI Scientist,22 Oct 2024,0
They asked an algo question that was pretty simple.,Interviewed at TrustFlight,4.1,AI Software Engineer,24 Sept 2024,0
No technical questions only seeing if it is the right fit,Interviewed at SAP,4.2,AI full Stack Developer,11 Aug 2024,0
related to machine learning and gen AI,Interviewed at Qurinom Solutions,4.7,AI Intern,20 Aug 2024,0
Technical test on AI and Infrastructures.,Interviewed at SAP,4.2,AI Scientist,18 Mar 2024,0
"Coding tests: one easy and one easy-medium leetcode question level (45 mins). 3 ML questions - manipulate numpy array, implement logistic regression, perform train test split on given set of constraints. (60 mins)",Interviewed at SAP,4.2,AI Engineer Intern,4 Oct 2021,0
¿con que stack replicarias nuestro workflow?,Interviewed at Voicemod,3.1,AI Engineer,18 Dec 2024,0
Build an entire bespoke AI and Data Quality Framework for this client work,Interviewed at TaskUs,4.2,"Head of Quality, AI Data Operations",19 Dec 2024,0
What is a course you didn't enjoy at university?,Interviewed at Ancoris,3.5,Associate Data & AI Engineer,6 Jul 2022,0
"Who are your customers (can be either internally or externally)? How have you gone above and beyond for the customer? Have you dealt with a difficult customer and if so, what happened?",Interviewed at Mapbox,3.1,AI Prompt Engineer,31 Aug 2024,0
"Have you ever failed before? If so, what was the failure? What did you learn?",Interviewed at Mapbox,3.1,AI Prompt Engineer,31 Aug 2024,0
Too long of a question to be posted here. It was a regular backtracking problem (LC medium level),Interviewed at Duolingo,4.2,AI Research Intern,9 Nov 2023,0
How much do you earn? What is your birth date?,Interviewed at Hunters International,4.7,AI Scientist,31 May 2023,0
Why do you want to join?,Interviewed at New York Life,3.7,Summer AI &amp; Data Science Analyst,3 Mar 2025,0
"questions around the chatbot , how it got developed and all.

Review: DON'T APPLY TO THIS COMPANY IF YOU WANT TO WASTE YOUR TIME. After 3 rounds they said, application on hold and do not have any openings that fit your experience, or re-apply after 6 months. I would say big no.",Interviewed at Lumenalta,4,Senior AI Engineer,4 Sept 2024,0
How would you approach a consulting problem? Which frameworks would you use?,Interviewed at Superside,4.4,Gen AI Consultant,2 Sept 2024,0
How would you integrate the engineering and science teams? How would you transfer code to production? How would you integrate teams across very different time zones? What determines a model's accuracy?,Interviewed at AIQ Solutions,5,Lead AI Scientist,14 Mar 2024,0
Please describe some of your personal projects and how they relate to the present position.,Interviewed at Unisys,3.5,AI/ML Intern,21 Aug 2021,0
What have you done in your graduation project?,Interviewed at Unisys,3.5,AI Developer,1 Feb 2024,0
Are you willing to work 5 days on site even if your job can be done entirely remotely?,Interviewed at C3 AI,3.6,AI Solution Manager,13 Oct 2023,0
Describe how you handle stakeholders. Softball questions.,Interviewed at C3 AI,3.6,AI / ML Leadership,4 Jun 2022,0
Walk me through your career in detail.,Interviewed at C3 AI,3.6,Sr. AI Product Manager,19 Jul 2024,0
Unstructured interview with a case study to discuss with the senior manager for the position navigating a few challenges,Interviewed at C3 AI,3.6,"AI Solution Director, Healthcare",18 Sept 2024,0
"Il y avait en tout environ 9 questions, dont 8 à choix multiples et une dernière question de code sur le minimum reject request. Globalement, les questions à choix multiples portaient sur les bases du machine learning et de la data science.",Interviewed at C3 AI,3.6,AI/ML Engineer Senior,2 Mar 2025,0
"about previous projects and knowledge about deployment , Python and SQL",Interviewed at CitiusTech,3.7,ML/AI Engineer,30 Mar 2023,0
"1. Describe a project
2. How would you build a system that enables text searching for action and attributes threw a large corpus of videos, Without running all the videos to threw video model.",Interviewed at Nexar,3.6,AI Algorithm Engineer,21 Jan 2025,0
"Technical: 1-2 simple coding questions and some basics about ML/AI
Behavioural: typical STAR questions",Interviewed at Procter & Gamble,4.1,Senior AI Engineer,23 Nov 2024,0
"Technical: 1-2 simple coding questions and some basics about ML/AI
Behavioural: typical STAR questions",Interviewed at Procter & Gamble,4.1,Senior AI Engineer,23 Nov 2024,0
"- Why do you think you are a good fit for the role?
- Finding the size of the search space for a scheduling problem
 - Converting constraints into mathematical equations",Interviewed at Workforce Optimizer,2.3,Associate AI & Optimization Consultant,10 Nov 2021,0
"How would you detect these spots in a Petri dish? Please, describe how circle detection works. Tell me about Hough transform. Describe this piece of code in Python, what does it do? How would you describe this weird behavior? What do you know about multi-processing in Python?",Interviewed at MSD,4.1,ML/AI Engineer,15 Nov 2023,0
Name some characteristics of functional programming.,Interviewed at MSD,4.1,AI/ML Engineer,7 Mar 2024,0
"General questions about the projects
- pros and cons of models used in the projects
- how to improve the models
- why these performance indicators used",Interviewed at NCSOFT,3.1,AI Researcher,12 Feb 2020,0
To talk about my work experience,Interviewed at Samsung Electronics,3.7,AI internships,13 Jan 2025,0
"A technical assessment using UiPath, A review of the experience I had on UiPath and my familiarity with specific activities.",Interviewed at _VOIS,4.1,AI &amp; Automation Engineer,19 Sept 2024,0
How would you react if we cancelled one of your projects?,Interviewed at Vooban,4.4,AI Developer,8 Mar 2025,0
"Coding interview was straightforward. Learning round was really fun, pretty much to pick up a new coding language and write simple code with it. LLM round was like system design but specifically using LLMs. Hiring manager round was supposed to be behavioral but got coding question instead.",Interviewed at Palantir Technologies,3.9,Forward Deployed AI engineer,21 Dec 2024,0
"Python hackerearth questions. Python basic and medium level dsa questions on Arrays and strings. Confusion matrix, Pandas and Matplotlib questions ML and DL foundational concepts asked in detail.",Interviewed at LG Soft India,3.1,AI Research Engineer,7 Dec 2022,0
Position got on hold (so no questions asked),Interviewed at Intelliswift,3.8,AI Test Engineer,8 Apr 2024,0
Please explain what a RAG is?,Interviewed at Strata Clean Energy,3.3,AI Transformation Lead,4 Mar 2025,0
"""Are you a self driven worker?""",Interviewed at Scale,3.3,AI Data Annotator,19 Jan 2022,0
They asked me to describe a project in english,Interviewed at Rewire,4.6,Junior Data & AI Engineer,6 Jul 2022,0
"DL: SGD and Backprop, loss functions
CV: Classification, Detection and Segmentation.
Case Study: highly imbalanced data in detection/ segmentation.
Puzzles",Interviewed at Infilect,4,AI Engineer,13 Jan 2022,0
"YOLO architecture, Transformer architecture, Attention mechanism",Interviewed at C5i,4.3,AI Scientist,30 Jun 2023,0
"Assignment, Standard ML questions, Behavioural round",Interviewed at Infilect,4,AI Engineer,10 Sept 2022,0
What is the grouped by query in SQL and where we will use this?,Interviewed at Honeywell,4.1,AI/ML Intern,4 Apr 2024,0
"In-depth questions about transformers and their architecture
Discussion on LLM fine-tuning techniques and challenges
Basic machine learning concepts (supervised vs unsupervised learning, regularization)
Practical scenario: designing a system to categorize customer support tickets
Questions about my past projects and experience with model deployment
Brief discussion on AI ethics and bias mitigation",Interviewed at Gravitas AI,4.3,AI/ML Intern,27 Sept 2024,0
"- Pandas assigment (basic transformations, managing types) - SQL Interview: create some queries using different types of joins, and how to transform it to use subqueries. Asked also about window functions. - Data Science interview: similar to a kaggle problem. Generate an entire pipeline to process a dataset, train a model and evaluate it.",Interviewed at OfferFit,4.9,AI Implementation Engineer,14 Nov 2023,0
"Question on DSA, Machine Learning, Python and DBMS concepts.",Interviewed at NonStop io Technologies,4.9,ML/AI Intern,10 Jan 2024,0
Coding questions for getting the number is prime or not and Fibonacci series.,Interviewed at NonStop io Technologies,4.9,AI/ML Intern,17 Apr 2024,0
"What is RAG?
Why are documents divided into chunks in RAG?
What is Under fitting &amp; Over fitting?
What is Binary search?
What is  Inheritence, Encapsulation &amp; Abstraction?",Interviewed at NonStop io Technologies,4.9,AI/ML Intern,9 Oct 2024,0
Will ask question based on your work / assignment in degree.,Interviewed at GAMER2GAMER,4.1,AI Intern,26 Sept 2023,0
It was about object detection and tracking in multiple images.,Interviewed at DeltaX (South Korea),3,AI Engineer,17 Mar 2025,0
Pandas data manipulation and implementation of ML.,Interviewed at DRW,4.2,AI Engineer,16 Mar 2025,0
Have you done any heat detection before?,Interviewed at Cogent Breeding,2.7,AI Technician,5 Feb 2022,0
Describe how the EM algorithm works,Interviewed at LinkedIn,4,ML/AI Engineer,9 Feb 2023,0
"NDA, cannot type the question.",Interviewed at LinkedIn,4,Senior AI Engineer,14 Aug 2024,0
"Why this role, past experiences, and skills",Interviewed at InvolveSoft,4.2,Software Engineer (ML/AI),18 Feb 2021,0
Implement convolutional filter from scratch in Python,Interviewed at Chan Zuckerberg Initiative,3.5,Staff AI/ML Research Engineer,8 Jun 2024,0
"Basic SQL knowledge: given ""books"" and ""shelves"" tables, implement queries to list all books on a given shelf or all books of a given topic (the ""topic"" field is in the ""shelves"" table).",Interviewed at Chan Zuckerberg Initiative,3.5,Staff AI/ML Research Engineer,8 Jun 2024,0
Implement single linked list in Python,Interviewed at Chan Zuckerberg Initiative,3.5,Staff AI/ML Research Engineer,8 Jun 2024,0
"You are working on a backend system that retrieves data from a database. The database has two tables: users and posts. Each user can have many posts, and each post belongs to a user.

You are notified that the system is experiencing a performance drop in production, and you isolate the issue to the following snippet:

async function getUsersWithPostCountAndEarliestPostDate() {
  const users = await db.query('SELECT u.id AS user_id, u.name AS user_name FROM users');
  for (let user of users) {
    const posts = await db.query('SELECT * FROM posts WHERE user_id = ?', [user.id]);
    user.post_count = posts.length;
    user.earliest_post_date = posts.reduce((earliest, post) =&gt; post.created_at &lt; earliest ? post.created_at : earliest, Infinity);
    if (user.earliest_post_date === Infinity) {
      user.earliest_post_date = null;
    }
  }
  return users;
}
What type of problem does this code have? How do we fix it?",Interviewed at Crossover for Work,3.8,AI First Software Engineer II,12 Jun 2024,0
Use AI as a copilot to resolve a bug,Interviewed at Crossover for Work,3.8,AI-Augmented Full-Stack Principal Engineer,20 Feb 2025,0
Why do you want to work here,Interviewed at King,3.4,AI/ML Engineer Intern,15 Jul 2023,0
"Simple api questions, didnt talk about the home assignment so felt like all effort was for nothing. Not fair home assignment in terms of time.",Interviewed at Lemonade Insurance,3.7,AI Engineer,18 Sept 2024,0
What are the machine learning models you have developed and deployed?,Interviewed at Edwards,3.5,AI/ML Engineer,21 Jun 2024,0
High-level questions. Non-technical. This was the videocall interview,Interviewed at Google,4.3,AI Residency,24 Oct 2022,0
they asked me to code obscure algorythms that are never used in AI?ML,Interviewed at Google,4.3,Data &amp; AI- Cloud Solution Architecture,1 Nov 2024,0
"Question: Moving Average Anomaly Detection
Problem: You are given a time series data of daily stock prices in the form of an array prices, where each prices[i] represents the stock price on day i. Implement a function that detects anomalies using a simple moving average (SMA) approach.

An anomaly is detected if the stock price deviates from the moving average by more than a certain threshold. Given the list prices, an integer window_size, and a threshold percentage, return a list of days (indices) where anomalies are detected.

Input:

prices: List of integers representing stock prices over time.
window_size: Integer representing the number of days to compute the moving average.
threshold: Float representing the percentage deviation from the moving average to be considered an anomaly.
Output: A list of indices where anomalies are detected.",Interviewed at Google,4.3,AI/ML Engineer,5 Nov 2024,0
Implement a recommendation system using collaborative filtering.,Interviewed at Tripadvisor,3.7,AI/ML Engineer,8 Nov 2024,0
What is stochastic gradient descent,Interviewed at Google,4.3,AI Residency,22 Nov 2022,0
